rank,brand,outbound_tweets
1,AmazonHelp,169840
2,AppleSupport,106860
3,Uber_Support,56270
4,SpotifyCares,43265
5,Delta,42253
6,Tesco,38573
7,AmericanAir,36764
8,TMobileHelp,34317
9,comcastcares,33031
10,British_Airways,29361
11,SouthwestAir,28977
12,VirginTrains,27817
13,Ask_Spectrum,25860
14,XboxSupport,24557
15,sprintcare,22381
16,hulu_support,21872
17,sainsburys,19466
18,GWRHelp,19364
19,AskPlayStation,19098
20,ChipotleTweets,18749
21,VerizonSupport,17966
22,UPSHelp,17817
23,ATVIAssist,17650
24,O2,16212
25,Safaricom_Care,16077
26,idea_cares,15724
27,AskTarget,13218
28,AirAsiaSupport,12829
29,BofA_Help,12683
30,SW_Help,12231
